Frame,Visibility,X,Y,Time
0,0,0,0,00:00:00.0
1,0,0,0,00:00:00.03333333333333333
2,0,0,0,00:00:00.06666666666666667
3,0,0,0,00:00:00.1
4,0,0,0,00:00:00.13333333333333333
5,0,0,0,00:00:00.16666666666666666
6,0,0,0,00:00:00.2
7,0,0,0,00:00:00.23333333333333334
8,0,0,0,00:00:00.26666666666666666
9,0,0,0,00:00:00.3
10,0,0,0,00:00:00.3333333333333333
11,0,0,0,00:00:00.36666666666666664
12,0,0,0,00:00:00.4
13,1,610,353,00:00:00.43333333333333335
14,1,611,328,00:00:00.4666666666666667
15,1,611,328,00:00:00.5
16,1,618,312,00:00:00.5333333333333333
17,1,621,298,00:00:00.5666666666666667
18,1,623,285,00:00:00.6
19,1,626,276,00:00:00.6333333333333333
20,1,628,266,00:00:00.6666666666666666
21,1,628,266,00:00:00.7
22,1,631,260,00:00:00.7333333333333333
23,1,633,256,00:00:00.7666666666666666
24,1,636,252,00:00:00.8
25,1,637,251,00:00:00.8333333333333334
26,1,638,248,00:00:00.8666666666666667
27,0,0,0,00:00:00.9
28,0,0,0,00:00:00.9333333333333333
29,0,0,0,00:00:00.9666666666666667
30,1,651,255,00:00:01.0
31,1,655,255,00:00:01.0333333333333332
32,1,657,256,00:00:01.0666666666666667
33,1,657,258,00:00:01.1
34,1,661,258,00:00:01.1333333333333333
35,1,665,265,00:00:01.1666666666666667
36,1,671,271,00:00:01.2
37,1,673,277,00:00:01.2333333333333334
38,1,676,283,00:00:01.2666666666666666
39,0,0,0,00:00:01.3
40,0,0,0,00:00:01.3333333333333333
41,0,0,0,00:00:01.3666666666666667
42,0,0,0,00:00:01.4
43,0,0,0,00:00:01.4333333333333333
44,0,0,0,00:00:01.4666666666666666
45,0,0,0,00:00:01.5
46,0,0,0,00:00:01.5333333333333332
47,0,0,0,00:00:01.5666666666666667
48,1,701,376,00:00:01.6
49,1,703,390,00:00:01.6333333333333333
50,1,696,378,00:00:01.6666666666666667
51,1,695,382,00:00:01.7
52,0,0,0,00:00:01.7333333333333334
53,0,0,0,00:00:01.7666666666666666
54,0,0,0,00:00:01.8
55,0,0,0,00:00:01.8333333333333333
56,0,0,0,00:00:01.8666666666666667
57,0,0,0,00:00:01.9
58,0,0,0,00:00:01.9333333333333333
59,0,0,0,00:00:01.9666666666666666
60,1,628,262,00:00:02.0
61,1,626,261,00:00:02.033333333333333
62,1,621,256,00:00:02.0666666666666664
63,1,621,256,00:00:02.1
64,1,616,256,00:00:02.1333333333333333
65,1,612,253,00:00:02.1666666666666665
66,1,610,256,00:00:02.2
67,1,606,256,00:00:02.2333333333333334
68,1,603,260,00:00:02.2666666666666666
69,1,602,260,00:00:02.3
70,1,601,263,00:00:02.3333333333333335
71,1,606,266,00:00:02.3666666666666667
72,1,630,266,00:00:02.4
73,0,0,0,00:00:02.433333333333333
74,0,0,0,00:00:02.466666666666667
75,0,0,0,00:00:02.5
76,0,0,0,00:00:02.533333333333333
77,0,0,0,00:00:02.5666666666666664
78,1,701,271,00:00:02.6
79,1,712,276,00:00:02.6333333333333333
80,1,726,281,00:00:02.6666666666666665
81,1,726,281,00:00:02.7
82,1,736,288,00:00:02.7333333333333334
83,1,748,296,00:00:02.7666666666666666
84,1,758,306,00:00:02.8
85,1,770,316,00:00:02.8333333333333335
86,1,780,326,00:00:02.8666666666666667
87,1,780,326,00:00:02.9
88,1,788,338,00:00:02.933333333333333
89,1,798,351,00:00:02.966666666666667
90,1,806,363,00:00:03.0
91,1,811,365,00:00:03.033333333333333
92,1,800,321,00:00:03.0666666666666664
93,1,798,322,00:00:03.1
94,1,793,293,00:00:03.1333333333333333
95,1,787,275,00:00:03.1666666666666665
96,1,783,257,00:00:03.2
97,1,781,243,00:00:03.2333333333333334
98,1,777,236,00:00:03.2666666666666666
99,1,778,236,00:00:03.3
100,1,776,228,00:00:03.3333333333333335
101,1,773,221,00:00:03.3666666666666667
102,1,776,218,00:00:03.4
103,0,0,0,00:00:03.433333333333333
104,0,0,0,00:00:03.466666666666667
105,1,770,213,00:00:03.5
106,1,776,221,00:00:03.533333333333333
107,1,777,223,00:00:03.5666666666666664
108,1,781,226,00:00:03.6
109,1,786,236,00:00:03.6333333333333333
110,1,792,245,00:00:03.6666666666666665
111,1,791,245,00:00:03.6999999999999997
112,1,796,252,00:00:03.7333333333333334
113,1,801,261,00:00:03.7666666666666666
114,1,806,271,00:00:03.8
115,1,808,282,00:00:03.8333333333333335
116,1,812,295,00:00:03.8666666666666667
117,1,813,295,00:00:03.9
118,1,816,306,00:00:03.933333333333333
119,1,821,320,00:00:03.966666666666667
120,1,823,333,00:00:04.0
121,1,826,348,00:00:04.033333333333333
122,1,828,363,00:00:04.066666666666666
123,1,828,363,00:00:04.1
124,1,831,378,00:00:04.133333333333333
125,1,835,396,00:00:04.166666666666667
126,1,836,411,00:00:04.2
127,1,840,428,00:00:04.233333333333333
128,1,837,422,00:00:04.266666666666667
129,1,837,425,00:00:04.3
130,1,830,391,00:00:04.333333333333333
131,1,828,365,00:00:04.366666666666666
132,1,828,342,00:00:04.4
133,1,823,326,00:00:04.433333333333334
134,1,821,311,00:00:04.466666666666667
135,1,821,312,00:00:04.5
136,1,816,301,00:00:04.533333333333333
137,1,813,291,00:00:04.566666666666666
138,1,812,282,00:00:04.6
139,1,811,276,00:00:04.633333333333333
140,1,808,270,00:00:04.666666666666667
141,1,808,270,00:00:04.7
142,1,808,266,00:00:04.733333333333333
143,1,806,266,00:00:04.766666666666667
144,1,805,263,00:00:04.8
145,1,802,263,00:00:04.833333333333333
146,1,802,266,00:00:04.866666666666666
147,1,801,266,00:00:04.9
148,1,801,266,00:00:04.933333333333334
149,1,800,270,00:00:04.966666666666667
150,1,798,273,00:00:05.0
151,1,798,281,00:00:05.033333333333333
152,1,796,286,00:00:05.066666666666666
153,1,796,286,00:00:05.1
154,1,796,291,00:00:05.133333333333333
155,1,792,297,00:00:05.166666666666667
156,0,0,0,00:00:05.2
157,0,0,0,00:00:05.233333333333333
158,0,0,0,00:00:05.266666666666667
159,0,0,0,00:00:05.3
160,0,0,0,00:00:05.333333333333333
161,0,0,0,00:00:05.366666666666666
162,1,676,266,00:00:05.4
163,1,663,266,00:00:05.433333333333334
164,1,650,267,00:00:05.466666666666667
165,1,648,267,00:00:05.5
166,1,637,270,00:00:05.533333333333333
167,1,623,271,00:00:05.566666666666666
168,1,612,276,00:00:05.6
169,1,601,281,00:00:05.633333333333333
170,1,590,287,00:00:05.666666666666667
171,1,590,287,00:00:05.7
172,1,578,296,00:00:05.733333333333333
173,1,568,303,00:00:05.766666666666667
174,1,558,313,00:00:05.8
175,1,548,323,00:00:05.833333333333333
176,1,583,456,00:00:05.866666666666666
177,1,541,335,00:00:05.9
178,1,532,348,00:00:05.933333333333334
179,1,557,321,00:00:05.966666666666667
180,1,583,295,00:00:06.0
181,1,605,275,00:00:06.033333333333333
182,1,620,255,00:00:06.066666666666666
183,1,618,258,00:00:06.1
184,0,0,0,00:00:06.133333333333333
185,0,0,0,00:00:06.166666666666667
186,0,0,0,00:00:06.2
187,0,0,0,00:00:06.233333333333333
188,0,0,0,00:00:06.266666666666667
189,1,685,220,00:00:06.3
190,0,0,0,00:00:06.333333333333333
191,1,700,220,00:00:06.366666666666666
192,1,687,205,00:00:06.4
193,1,668,188,00:00:06.433333333333334
194,1,653,178,00:00:06.466666666666667
195,1,653,177,00:00:06.5
196,1,640,168,00:00:06.533333333333333
197,1,626,163,00:00:06.566666666666666
198,1,616,158,00:00:06.6
199,1,608,156,00:00:06.633333333333333
200,1,598,153,00:00:06.666666666666667
201,1,598,153,00:00:06.7
202,1,591,153,00:00:06.733333333333333
203,1,583,153,00:00:06.766666666666667
204,1,576,156,00:00:06.8
205,1,568,160,00:00:06.833333333333333
206,1,561,163,00:00:06.866666666666666
207,1,561,163,00:00:06.8999999999999995
208,1,556,170,00:00:06.933333333333334
209,1,548,176,00:00:06.966666666666667
210,1,543,186,00:00:07.0
211,1,538,196,00:00:07.033333333333333
212,1,531,206,00:00:07.066666666666666
213,1,532,206,00:00:07.1
214,1,526,220,00:00:07.133333333333333
215,1,521,233,00:00:07.166666666666667
216,1,516,246,00:00:07.2
217,1,511,262,00:00:07.233333333333333
218,1,506,278,00:00:07.266666666666667
219,1,506,278,00:00:07.3
220,1,501,296,00:00:07.333333333333333
221,1,497,316,00:00:07.366666666666666
222,1,495,330,00:00:07.3999999999999995
223,1,488,307,00:00:07.433333333333334
224,1,490,273,00:00:07.466666666666667
225,1,490,275,00:00:07.5
226,1,488,251,00:00:07.533333333333333
227,1,490,236,00:00:07.566666666666666
228,1,490,227,00:00:07.6
229,1,491,221,00:00:07.633333333333333
230,1,491,216,00:00:07.666666666666667
231,1,491,215,00:00:07.7
232,1,491,211,00:00:07.733333333333333
233,1,492,210,00:00:07.766666666666667
234,1,493,210,00:00:07.8
235,1,495,208,00:00:07.833333333333333
236,1,495,211,00:00:07.866666666666666
237,1,496,211,00:00:07.8999999999999995
238,1,496,212,00:00:07.933333333333334
239,1,496,215,00:00:07.966666666666667
240,1,500,220,00:00:08.0
241,0,0,0,00:00:08.033333333333333
242,1,495,222,00:00:08.066666666666666
243,1,496,225,00:00:08.1
244,1,492,228,00:00:08.133333333333333
245,1,491,233,00:00:08.166666666666666
246,1,488,240,00:00:08.2
247,1,486,246,00:00:08.233333333333333
248,1,485,251,00:00:08.266666666666666
249,1,483,251,00:00:08.3
250,1,483,260,00:00:08.333333333333334
251,1,481,268,00:00:08.366666666666667
252,1,480,278,00:00:08.4
253,1,478,288,00:00:08.433333333333334
254,1,478,301,00:00:08.466666666666667
255,1,478,301,00:00:08.5
256,1,476,312,00:00:08.533333333333333
257,1,476,326,00:00:08.566666666666666
258,1,475,340,00:00:08.6
259,1,473,353,00:00:08.633333333333333
260,1,473,370,00:00:08.666666666666666
261,1,473,367,00:00:08.7
262,1,491,343,00:00:08.733333333333333
263,1,510,313,00:00:08.766666666666666
264,1,523,298,00:00:08.8
265,1,536,283,00:00:08.833333333333334
266,1,547,273,00:00:08.866666666666667
267,1,547,272,00:00:08.9
268,1,557,265,00:00:08.933333333333334
269,1,566,258,00:00:08.966666666666667
270,1,590,273,00:00:09.0
271,0,0,0,00:00:09.033333333333333
272,0,0,0,00:00:09.066666666666666
