                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5602,                 2.4587,                 1.2009,                0.94015,                0.63018,                0.94388,                0.59129,                  1.244,                 1.9123,                 1.0872,               0.070297,              0.0033003,              0.0033003
                      1,                 1.2861,                  1.053,                 1.0731,                0.85944,                0.89924,                0.96084,                 0.6426,                 1.1625,                0.85646,                 1.0554,               0.040264,              0.0066008,              0.0066008
                      2,                 1.2794,                0.98802,                 1.0946,                0.92002,                0.87886,                0.95508,                0.60546,                 1.2478,                0.91552,                 1.1054,               0.010198,              0.0098683,              0.0098683
                      3,                 1.2828,                0.95609,                 1.1091,                0.95584,                  0.924,                0.97486,                0.58169,                 1.3783,                0.76721,                 1.2063,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.2459,                0.87067,                 1.0978,                0.95133,                0.95957,                0.98445,                0.63143,                 1.2182,                0.77598,                 1.1087,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2139,                0.80722,                 1.0862,                0.95024,                0.97445,                0.98184,                0.66813,                 1.0839,                0.60236,                 1.0649,               0.009802,               0.009802,               0.009802
                      6,                 1.1725,                0.75394,                 1.0659,                 0.9779,                0.97344,                0.98982,                0.67966,                 1.0876,                0.60329,                 1.0613,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.1677,                0.72816,                 1.0658,                0.96042,                0.96535,                0.98617,                0.67068,                 1.1174,                0.54073,                 1.0465,               0.009703,               0.009703,               0.009703
                      8,                 1.1271,                0.68845,                 1.0478,                0.97563,                0.98504,                0.99235,                0.69109,                 1.0842,                 0.5153,                 1.0307,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.1072,                0.65851,                 1.0395,                0.97318,                0.98285,                0.99274,                0.67515,                  1.153,                0.53548,                 1.0855,               0.009604,               0.009604,               0.009604
                     10,                   1.09,                0.64075,                 1.0333,                0.96918,                0.98741,                 0.9927,                0.72759,                0.98251,                0.49504,                 1.0018,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.0935,                0.63237,                 1.0359,                0.97758,                0.98713,                0.99426,                0.71426,                  1.002,                0.48483,                 1.0129,               0.009505,               0.009505,               0.009505
                     12,                 1.0771,                0.62304,                 1.0319,                0.98228,                0.98619,                0.99395,                0.74284,                0.98908,                0.44938,                0.99996,              0.0094555,              0.0094555,              0.0094555
