                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3144,                 1.3393,                 1.1642,                0.96385,                0.97044,                0.99081,                0.73962,                0.94612,                0.45231,                0.97286,               0.070076,              0.0033249,              0.0033249
                      1,                 1.0413,                 0.6262,                 1.0249,                0.97654,                0.98341,                0.99275,                0.75034,                 0.9138,                0.51642,                0.96918,               0.040054,              0.0066362,              0.0066362
                      2,                 1.0582,                0.65021,                 1.0334,                0.95603,                0.96612,                0.98522,                0.71507,                 1.0092,                0.54771,                  1.011,                0.01001,              0.0099256,              0.0099256
                      3,                 1.0795,                0.66087,                 1.0484,                0.96924,                0.97826,                0.98456,                0.71998,                0.96608,                0.51173,                 1.0029,               0.009901,               0.009901,               0.009901
                      4,                 1.0269,                0.61302,                 1.0295,                0.97514,                 0.9799,                0.98874,                0.74197,                0.94874,                0.46273,                 0.9938,               0.009901,               0.009901,               0.009901
                      5,                0.97866,                0.57396,                 1.0138,                0.98313,                0.98334,                 0.9913,                0.76156,                0.87993,                0.44681,                 0.9867,               0.009868,               0.009868,               0.009868
                      6,                0.94929,                0.54331,                  1.001,                0.98152,                0.98153,                0.98832,                0.76594,                0.88905,                0.43959,                0.97611,               0.009835,               0.009835,               0.009835
                      7,                0.93402,                0.53189,                0.99933,                0.97877,                0.98591,                0.99269,                0.77375,                0.85197,                0.41016,                 0.9562,               0.009802,               0.009802,               0.009802
                      8,                0.90765,                0.51123,                0.98144,                0.98939,                0.98892,                0.99248,                0.79946,                0.80293,                0.39768,                 0.9374,               0.009769,               0.009769,               0.009769
                      9,                0.89127,                0.49576,                 0.9758,                 0.9856,                0.98722,                0.99174,                0.80735,                0.78371,                0.37949,                0.92727,               0.009736,               0.009736,               0.009736
                     10,                0.87324,                0.49397,                0.96894,                0.98164,                0.98664,                 0.9917,                0.80262,                0.79269,                0.38642,                0.94297,               0.009703,               0.009703,               0.009703
                     11,                0.85989,                0.47748,                0.96297,                0.98517,                  0.982,                0.99055,                0.80518,                0.77795,                0.37379,                0.93384,                0.00967,                0.00967,                0.00967
                     12,                0.85238,                 0.4739,                0.96129,                0.98659,                0.98989,                0.99221,                0.81716,                0.75453,                 0.3609,                0.91976,               0.009637,               0.009637,               0.009637
                     13,                0.82608,                0.45451,                0.94877,                0.98781,                0.98434,                0.99241,                0.81341,                0.75734,                0.36279,                0.91748,               0.009604,               0.009604,               0.009604
                     14,                0.83509,                0.45502,                0.95128,                0.99094,                0.98874,                0.99321,                0.81407,                0.75156,                0.35267,                0.92092,               0.009571,               0.009571,               0.009571
                     15,                0.81821,                0.45076,                0.94759,                0.99151,                0.98735,                0.99192,                0.81704,                0.74103,                0.35756,                0.91586,               0.009538,               0.009538,               0.009538
                     16,                0.80556,                0.44124,                0.94182,                0.99105,                0.99165,                 0.9937,                0.82727,                 0.7267,                0.34177,                0.91482,               0.009505,               0.009505,               0.009505
                     17,                0.79453,                0.43792,                0.94024,                0.98826,                0.98997,                0.99241,                0.82551,                0.71127,                0.34016,                0.90731,               0.009472,               0.009472,               0.009472
                     18,                0.79405,                0.42961,                0.93535,                0.98813,                 0.9915,                0.99315,                0.83097,                0.70382,                0.32404,                 0.8981,               0.009439,               0.009439,               0.009439
                     19,                0.78401,                0.42224,                0.93319,                0.98907,                0.98894,                0.99175,                0.83325,                0.69503,                0.32733,                0.89891,               0.009406,               0.009406,               0.009406
                     20,                0.77286,                0.41663,                 0.9284,                 0.9872,                0.98813,                0.99271,                0.82326,                0.72683,                0.33637,                0.91225,               0.009373,               0.009373,               0.009373
                     21,                0.77565,                0.42014,                0.92931,                 0.9906,                0.99136,                 0.9922,                0.82998,                0.70215,                0.32777,                0.90587,                0.00934,                0.00934,                0.00934
                     22,                0.76712,                0.41186,                0.92639,                0.99082,                0.98978,                0.99043,                0.83065,                0.70124,                 0.3268,                 0.9004,               0.009307,               0.009307,               0.009307
                     23,                0.75753,                0.40777,                0.92223,                 0.9898,                0.99067,                 0.9933,                0.83835,                0.69097,                0.32478,                0.90351,               0.009274,               0.009274,               0.009274
                     24,                0.74909,                0.40324,                0.91911,                0.99065,                0.99427,                0.99361,                0.84281,                0.68315,                0.31243,                0.89383,               0.009241,               0.009241,               0.009241
                     25,                 0.7505,                0.40279,                0.92034,                0.99071,                 0.9892,                0.99342,                0.84266,                0.68477,                0.31371,                0.89182,               0.009208,               0.009208,               0.009208
                     26,                0.74007,                0.39953,                0.91908,                0.99253,                0.99135,                 0.9921,                0.84138,                0.68107,                0.30917,                0.89475,               0.009175,               0.009175,               0.009175
                     27,                0.73919,                0.39048,                0.91597,                0.98924,                0.98978,                0.99273,                0.84962,                0.67218,                0.30591,                0.89108,               0.009142,               0.009142,               0.009142
                     28,                0.73354,                0.39393,                0.91844,                0.98851,                0.99056,                0.99117,                0.83672,                0.67778,                0.31246,                0.89475,               0.009109,               0.009109,               0.009109
                     29,                0.72817,                0.38908,                 0.9125,                0.98884,                0.99174,                0.99336,                 0.8467,                0.66682,                0.29629,                0.88868,               0.009076,               0.009076,               0.009076
                     30,                0.72986,                0.38503,                0.91384,                0.99165,                0.98907,                0.99324,                0.85484,                0.65002,                0.29574,                  0.882,               0.009043,               0.009043,               0.009043
                     31,                0.71554,                0.38281,                0.90937,                0.99303,                0.99111,                0.99342,                0.84811,                0.65595,                0.29512,                0.88563,                0.00901,                0.00901,                0.00901
                     32,                0.71796,                0.38312,                0.90687,                0.99085,                0.99179,                0.99286,                0.84861,                0.67049,                 0.2943,                0.88774,               0.008977,               0.008977,               0.008977
                     33,                0.70616,                0.37305,                0.90305,                0.98959,                0.99164,                 0.9923,                0.85266,                0.65593,                0.29121,                0.88529,               0.008944,               0.008944,               0.008944
                     34,                0.71254,                0.37565,                0.90758,                0.99169,                0.99173,                0.99307,                0.84898,                 0.6589,                0.29366,                0.88598,               0.008911,               0.008911,               0.008911
                     35,                0.70457,                0.37446,                0.90667,                0.99279,                0.99287,                0.99361,                0.85159,                0.65186,                0.27889,                0.88435,               0.008878,               0.008878,               0.008878
                     36,                0.70592,                0.37194,                0.90175,                0.99252,                0.99319,                0.99316,                0.85186,                0.65875,                 0.2858,                0.88468,               0.008845,               0.008845,               0.008845
                     37,                0.70116,                0.37173,                0.90138,                 0.9932,                0.99255,                0.99369,                0.84723,                0.66342,                0.28711,                0.88335,               0.008812,               0.008812,               0.008812
                     38,                0.70041,                0.36912,                0.90167,                0.99072,                0.99251,                0.99346,                0.85351,                0.64713,                  0.282,                0.88081,               0.008779,               0.008779,               0.008779
                     39,                0.69892,                0.37201,                0.90223,                 0.9923,                0.98805,                0.99276,                0.84968,                0.65345,                0.28457,                0.88304,               0.008746,               0.008746,               0.008746
                     40,                0.68419,                0.36675,                0.89967,                0.99393,                0.99341,                  0.993,                0.84198,                0.65025,                0.28186,                0.88488,               0.008713,               0.008713,               0.008713
                     41,                0.68878,                0.36221,                0.89941,                0.99404,                0.99536,                0.99415,                0.85378,                0.64737,                 0.2731,                0.88299,                0.00868,                0.00868,                0.00868
                     42,                0.68243,                0.36193,                0.89811,                0.99383,                0.99291,                0.99424,                0.86199,                0.63643,                0.27808,                0.87735,               0.008647,               0.008647,               0.008647
                     43,                0.67814,                0.35576,                 0.8958,                0.99436,                 0.9933,                0.99381,                0.85812,                0.63204,                0.27138,                0.87536,               0.008614,               0.008614,               0.008614
                     44,                0.67042,                0.34885,                0.89431,                0.99395,                0.99275,                 0.9936,                0.85723,                0.64811,                0.27434,                0.88619,               0.008581,               0.008581,               0.008581
                     45,                0.67983,                0.35574,                0.90246,                0.98927,                0.99316,                0.99273,                0.85812,                 0.6433,                0.27659,                0.88477,               0.008548,               0.008548,               0.008548
                     46,                0.66985,                 0.3497,                0.89593,                0.99293,                 0.9937,                0.99418,                0.86043,                0.62523,                0.26641,                0.87693,               0.008515,               0.008515,               0.008515
                     47,                0.66557,                0.34708,                0.89584,                0.99181,                0.99171,                  0.992,                0.84882,                0.62757,                0.27044,                 0.8789,               0.008482,               0.008482,               0.008482
                     48,                0.66883,                0.34987,                0.89516,                0.99105,                0.99405,                0.99384,                0.85826,                0.63129,                0.27241,                 0.8825,               0.008449,               0.008449,               0.008449
                     49,                0.66257,                0.34723,                0.89331,                0.98979,                0.99008,                0.99229,                0.86213,                0.62282,                0.27453,                0.87593,               0.008416,               0.008416,               0.008416
                     50,                0.65338,                0.34565,                0.89182,                0.99346,                0.99068,                0.99356,                0.85713,                0.63286,                0.27652,                0.88338,               0.008383,               0.008383,               0.008383
                     51,                0.65937,                0.35417,                0.88952,                0.99109,                0.99428,                0.99332,                0.85809,                0.62173,                0.26813,                0.87573,                0.00835,                0.00835,                0.00835
                     52,                0.65629,                0.34526,                0.89018,                0.99135,                0.99235,                0.99401,                0.86195,                0.62574,                0.26357,                0.87797,               0.008317,               0.008317,               0.008317
                     53,                0.64219,                0.34004,                0.88456,                0.99238,                0.99283,                0.99365,                0.86713,                0.61318,                 0.2604,                0.87444,               0.008284,               0.008284,               0.008284
                     54,                0.64907,                0.34091,                0.88809,                0.99358,                0.99261,                0.99306,                  0.865,                0.61335,                0.25951,                0.87411,               0.008251,               0.008251,               0.008251
                     55,                0.65223,                0.33949,                 0.8909,                0.99455,                0.99019,                0.99317,                0.87042,                0.60841,                0.25949,                0.87513,               0.008218,               0.008218,               0.008218
                     56,                0.64875,                0.33962,                0.88934,                0.99292,                0.99081,                0.99367,                0.86467,                0.60785,                0.25741,                0.87191,               0.008185,               0.008185,               0.008185
                     57,                0.64371,                0.33297,                0.88416,                0.99283,                0.99079,                0.99338,                0.86962,                0.61205,                 0.2561,                0.87241,               0.008152,               0.008152,               0.008152
                     58,                0.64261,                0.33616,                0.88532,                0.99266,                0.99236,                0.99426,                0.86939,                0.61369,                 0.2549,                0.87436,               0.008119,               0.008119,               0.008119
                     59,                0.64096,                0.33319,                0.88591,                0.99521,                0.99273,                0.99387,                0.86887,                0.61441,                0.25406,                0.87525,               0.008086,               0.008086,               0.008086
                     60,                0.64052,                0.33497,                0.88322,                0.99455,                0.98986,                0.99404,                   0.87,                 0.6115,                0.25585,                0.87386,               0.008053,               0.008053,               0.008053
                     61,                0.63391,                0.33249,                0.88662,                0.99211,                0.99269,                0.99388,                0.86649,                0.60793,                0.25762,                0.87441,                0.00802,                0.00802,                0.00802
                     62,                0.63733,                0.33478,                0.88541,                 0.9926,                0.99407,                0.99383,                  0.869,                0.61241,                  0.254,                0.87762,               0.007987,               0.007987,               0.007987
                     63,                0.63057,                0.33102,                0.87928,                0.99231,                0.99293,                0.99364,                0.86838,                 0.6134,                0.25001,                0.87496,               0.007954,               0.007954,               0.007954
                     64,                0.62798,                 0.3321,                0.88073,                 0.9923,                0.99327,                0.99374,                0.86715,                0.61179,                0.24993,                0.87573,               0.007921,               0.007921,               0.007921
                     65,                0.62646,                0.32768,                0.88096,                0.99327,                0.99257,                0.99403,                0.87342,                0.59818,                0.24668,                0.86903,               0.007888,               0.007888,               0.007888
                     66,                0.62462,                0.32683,                0.88104,                0.99408,                0.99366,                0.99418,                0.87501,                0.59894,                0.24812,                0.87157,               0.007855,               0.007855,               0.007855
                     67,                0.63218,                0.33086,                0.88412,                0.99453,                0.99366,                0.99364,                0.87215,                0.60171,                0.24629,                0.86939,               0.007822,               0.007822,               0.007822
                     68,                0.62568,                0.32694,                0.88024,                0.99338,                0.99196,                0.99352,                0.87411,                0.59773,                 0.2465,                0.86766,               0.007789,               0.007789,               0.007789
                     69,                0.61657,                0.32486,                0.87763,                0.99303,                0.99256,                0.99382,                0.87664,                0.59217,                0.24406,                 0.8664,               0.007756,               0.007756,               0.007756
                     70,                0.62037,                0.32478,                0.87522,                0.99459,                0.99237,                0.99404,                0.87384,                0.59807,                0.24526,                0.87065,               0.007723,               0.007723,               0.007723
                     71,                0.62053,                0.32525,                0.87953,                0.99374,                0.99366,                0.99383,                0.87493,                0.59486,                0.24375,                 0.8711,                0.00769,                0.00769,                0.00769
                     72,                0.61261,                0.32305,                0.87825,                 0.9947,                0.99365,                0.99375,                0.87413,                0.59779,                0.24428,                0.87184,               0.007657,               0.007657,               0.007657
                     73,                0.61418,                0.32049,                0.87531,                 0.9955,                 0.9925,                0.99395,                 0.8757,                0.59509,                0.24011,                0.86841,               0.007624,               0.007624,               0.007624
                     74,                0.60956,                0.31967,                0.87358,                0.99409,                0.99366,                0.99395,                0.87761,                0.59048,                0.24035,                0.86809,               0.007591,               0.007591,               0.007591
                     75,                0.60879,                0.31914,                0.87494,                0.99486,                0.99334,                0.99411,                0.87951,                0.58897,                0.23741,                0.86681,               0.007558,               0.007558,               0.007558
                     76,                0.61206,                0.32179,                0.87453,                0.99399,                0.99302,                0.99397,                0.87288,                0.58844,                 0.2397,                0.86576,               0.007525,               0.007525,               0.007525
                     77,                0.60642,                0.31997,                0.87225,                0.99284,                0.99366,                0.99401,                0.87782,                0.59231,                0.24328,                0.86912,               0.007492,               0.007492,               0.007492
                     78,                0.60758,                0.31727,                0.87492,                0.99269,                0.99302,                0.99362,                0.87805,                0.58845,                0.24138,                0.86664,               0.007459,               0.007459,               0.007459
                     79,                0.60225,                0.31392,                0.87275,                 0.9955,                0.99297,                0.99385,                0.87732,                0.58689,                0.23893,                0.86709,               0.007426,               0.007426,               0.007426
                     80,                0.60851,                0.32009,                0.87845,                0.99342,                0.99353,                0.99395,                0.87836,                0.58951,                0.23973,                0.87075,               0.007393,               0.007393,               0.007393
                     81,                0.59684,                0.31493,                0.87418,                0.99331,                0.99238,                  0.994,                   0.88,                0.58431,                0.23742,                0.86809,                0.00736,                0.00736,                0.00736
                     82,                0.59916,                0.31236,                0.87339,                0.99013,                0.99406,                0.99347,                0.87949,                0.58686,                0.23644,                0.86894,               0.007327,               0.007327,               0.007327
                     83,                0.60192,                0.31382,                0.87374,                0.99212,                0.99433,                0.99382,                0.87988,                0.58485,                 0.2331,                0.86738,               0.007294,               0.007294,               0.007294
